date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:57	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Dec%202022%2022:20:13%20GMT	https://finapp.bragherstudio.com/robots.txt		(from )
23:18:57	56337/56337	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2011:13:21%20GMT	https://finapp.bragherstudio.com/view22/	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/index.html	(from )
23:18:57	495/495	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2011:13:23%20GMT	https://finapp.bragherstudio.com/view22/assets/img/favicon.png	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/assets/img/favicon.png	(from https://finapp.bragherstudio.com/view22/)
23:18:58	4630/4630	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2011:13:26%20GMT	https://finapp.bragherstudio.com/view22/assets/img/icon/192x192.png	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/assets/img/icon/192x192.png	(from https://finapp.bragherstudio.com/view22/)
23:18:58	128664/128664	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Jan%202022%2011:35:53%20GMT	https://finapp.bragherstudio.com/view22/assets/css/style.css	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/assets/css/style.css	(from https://finapp.bragherstudio.com/view22/)
23:18:58	1711/1711	---M--	200	added ('OK')	application/json	date:Thu,%2020%20Jan%202022%2011:18:05%20GMT	https://finapp.bragherstudio.com/view22/__manifest.json	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/__manifest.json	(from https://finapp.bragherstudio.com/view22/)
23:18:59	8175/8175	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2011:13:23%20GMT	https://finapp.bragherstudio.com/view22/assets/img/loading-icon.png	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/assets/img/loading-icon.png	(from https://finapp.bragherstudio.com/view22/)
23:18:59	7212/7212	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2011:13:23%20GMT	https://finapp.bragherstudio.com/view22/assets/img/logo.png	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/assets/img/logo.png	(from https://finapp.bragherstudio.com/view22/)
23:18:59	9919/9919	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2011:13:15%20GMT	https://finapp.bragherstudio.com/view22/app-notifications.html	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/app-notifications.html	(from https://finapp.bragherstudio.com/view22/)
23:18:59	8182/8182	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Jan%202022%2011:13:16%20GMT	https://finapp.bragherstudio.com/view22/app-settings.html	C:/My%20Web%20Sites/sss/finapp.bragherstudio.com/view22/app-settings.html	(from https://finapp.bragherstudio.com/view22/)
